,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
133,990025,-0.6766322880882768,-0.6406715078080449,-0.9714243481333458,-0.900804543845682,-0.6481310539619461,-0.8576462458537044,-0.895507299612594,-1.1725255196957647,-0.1254673269033088,-0.7474004766872281,-1.1097305728459679,-0.2922392076443454,-0.2407846890462806,1.1018282987053176,1.4322970054780508,-0.31281944373822795,0.39877893922819035,0.31115200222735623,-0.8296536714659519,-1.1735180495662325,-1.1924046871020695,1.3834187478569746,1.228128116081681,0.7000962041374916,0.2012727270468502,0.7232882294462513,0.1390494436103214,-0.7058010707554665,-0.871108653589516,0.030886171774727994,0.3529881675317349,-0.302814941160609,1.0711664078914054,-0.6982079825797559,0.7067033215862836,0.03905602889196445,0.5494275764103033,0.7203552540114537,0.7865528661571914,-0.084910090756115,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.4406577672349814,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.5218956074766886,0.6975728457949247,-0.7243567204803795,-0.612113996310639,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.4767131613088567,3.0619506099556872,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.050796069145570666
284,991020,-0.7323782898989429,-0.8126751279611248,-0.6112091624444612,-0.6691243442033142,-1.1428679534578978,-0.7580162940223114,-0.8819443107467297,-0.8073145365864071,0.34889388269384214,-0.7474004766872281,-1.1097305728459679,-0.38980570311988827,-0.21493835790239868,1.126061187873594,1.1856301061907348,-0.322569190834362,0.680277985024786,0.005435426267525948,-0.730899359880156,-0.9159925406442662,-0.6121550282692304,1.1754440462866873,1.1506169511372886,1.0574580474979924,0.11357425956976762,0.7021281513149074,0.10894772502118176,-0.7030383478361714,-0.6468782866820096,0.03885325778468076,0.2462885660280855,-0.235404869707259,0.9964403692339961,-0.8733174668177622,0.8171854644950534,0.06330167820652516,0.5078762233070835,0.5570640618150081,0.8952066086142542,0.08331030147450878,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.4406577672349814,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.528699191297334,0.671895125609443,-0.7243567204803795,-0.612113996310639,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.4767131613088567,2.491909383836981,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.04993286498017502
449,992016,-1.0747084685968857,-1.0315175996342918,-0.22209062648670186,-0.944209072881555,-0.8856474498795172,-1.0992166149674203,-1.0234000902771625,-1.1632383586843553,0.28715584817537243,-0.7474004766872281,-1.1097305728459679,-0.38980570311988827,-0.21493835790239868,1.126061187873594,1.1856301061907348,-0.322569190834362,0.680277985024786,0.005435426267525948,-0.730899359880156,-0.9159925406442662,-0.6121550282692304,1.1754440462866873,1.1506169511372886,0.7000962041374916,0.2012727270468502,0.7232882294462513,0.1390494436103214,-0.7030383478361714,-0.6468782866820096,0.030886171774727994,0.2462885660280855,-0.302814941160609,0.9964403692339961,-0.6982079825797559,0.7067033215862836,0.03905602889196445,0.5078762233070835,0.5570640618150081,0.8952066086142542,0.08331030147450878,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.4406577672349814,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.528699191297334,0.671895125609443,-0.7243567204803795,-0.612113996310639,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.4767131613088567,2.491909383836981,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.0498638124059072
558,993012,-0.600523920453945,-0.8455876930807881,-1.013543101922456,-0.6660204739795343,-0.7353000684312615,-0.5447226586870412,-0.26528121420369377,-1.084078004400583,0.2892286598336216,-0.7474004766872281,-1.1097305728459679,-0.3642127740222309,-0.14789480655149417,1.2030834211398789,0.9964980362990207,-0.33199459377883866,0.9764552957610865,-0.3366798864151725,-0.6865302608585556,-0.6926216517938779,-0.1642507031054428,0.8450602513011877,0.9666068442659043,0.7000962041374916,0.2012727270468502,0.7232882294462513,0.1390494436103214,-0.7412257223736006,-0.5084617798319347,0.030886171774727994,0.06672589457391498,-0.302814941160609,0.9198221507683517,-0.6982079825797559,0.7067033215862836,0.03905602889196445,0.4407028997928406,0.18883439614113928,1.1529019060502885,0.3010563992874426,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.4406577672349814,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.5798414727240268,0.6255187926475909,-0.7243567204803795,-0.612113996310639,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.4767131613088567,2.491909383836981,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.04956213514541297
767,994009,-0.8694119195903098,-0.7110233768938174,-1.0068079678790054,-0.7053887809622849,-0.8162205013270565,-1.140006490900715,-0.7917085148378458,-1.3252175896670682,0.21486551571014723,-0.7474004766872281,-1.1097305728459679,-0.3642127740222309,-0.14789480655149417,1.2030834211398789,0.9964980362990207,-0.33199459377883866,0.9764552957610865,-0.3366798864151725,-0.6865302608585556,-0.6926216517938779,-0.1642507031054428,0.8450602513011877,0.9666068442659043,-0.2499893220551712,0.35996637567974504,0.7051865556725203,0.18244073866224284,-0.7412257223736006,-0.5084617798319347,0.04853933675108876,0.06672589457391498,-0.4164984277054205,0.9198221507683517,-0.010967990403488517,0.6416018229744378,-0.02258454777341664,0.4407028997928406,0.18883439614113928,1.1529019060502885,0.3010563992874426,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.4406577672349814,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.5798414727240268,0.6255187926475909,-0.7243567204803795,-0.612113996310639,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.4767131613088567,2.491909383836981,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.04925819578680124
1073,995006,-1.1235225144446301,-0.5348678718996177,-0.24409505521224611,-0.8928384949746282,-0.5229723329874819,-0.7027945068388533,-0.8287218319618502,-0.641068109083336,0.3977302624751584,-0.7474004766872281,-1.1097305728459679,-0.20083588943842665,-0.09503783828344488,1.3585690762595994,0.9069301446677317,-0.34054121710433555,1.4565550490006944,-0.6391683107801389,-0.7240129595097606,-0.6416825999224506,0.12496097514436467,0.7226511578859742,0.8601079023389105,-0.9218867987367217,0.39695577498565177,0.6627766865894055,0.21742596265098543,-0.7967233910826788,-0.438557069683032,0.07722970338546507,0.04339735467971637,-0.4937764300363751,0.8887420782112989,0.5011625175347726,0.6692275131044958,-0.12932512387279071,0.381494267624696,0.10663914455500623,1.4001130981477508,0.36872761302083,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.39980264109779723,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.6564805585995647,0.5687496986786682,-0.8002300017824131,-0.8316060399121298,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.38993728539216793,2.491909383836981,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.049017540842369416
1138,996004,-1.0733626013497808,-1.0684400428367258,-0.34999622585180984,-0.4107746452732238,-0.4847438605049472,-0.3909478261888988,-0.9415800085767904,-0.9033788558985842,0.3191173491647843,-0.7474004766872281,-1.1097305728459679,-0.6799034566044453,-0.1466130073794369,1.1705383164470704,0.9129774805316537,-0.3234259747026909,0.9440931443054307,-0.38536974086411674,-0.6131297201422452,-0.6711970816457218,0.3647247866078239,0.7485932428269827,0.9362871200754336,-0.24590313008040254,0.36803023136451174,0.7534542880542463,0.19324854431490157,-0.7176138444965742,-0.41966339007091674,0.0010527308299371368,0.006041795220201849,-0.44537882675524093,0.84271240235686,0.060235212406426104,0.5539202442606342,0.041595389296120076,0.43717896153453034,0.16154564697892038,1.0870781345981357,0.3598328987359784,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.4406577672349814,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.516066414580505,0.6370600720946697,-0.7243567204803795,-0.612113996310639,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.4767131613088567,2.491909383836981,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.04834506260134619
1432,997002,-0.5801280483323414,-0.8238568959114397,0.02599756184787833,-0.33676092868200697,-0.5030246585200902,-0.6357186806615055,-0.7180159577117506,-0.8015765084909703,0.4359717410542184,-0.7474004766872281,-1.1097305728459679,-0.6799034566044453,-0.1466130073794369,1.1705383164470704,0.9129774805316537,-0.3234259747026909,0.9440931443054307,-0.38536974086411674,-0.6131297201422452,-0.6711970816457218,0.3647247866078239,0.7485932428269827,0.9362871200754336,-0.24590313008040254,0.36803023136451174,0.7534542880542463,0.19324854431490157,-0.7176138444965742,-0.41966339007091674,0.0010527308299371368,0.006041795220201849,-0.44537882675524093,0.84271240235686,0.060235212406426104,0.5539202442606342,0.041595389296120076,0.43717896153453034,0.16154564697892038,1.0870781345981357,0.3598328987359784,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.5664270230619225,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.516066414580505,0.6370600720946697,-0.7243567204803795,-0.612113996310639,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.4767131613088567,2.491909383836981,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.04809031851678014
1581,998001,-0.8880759823530534,-0.7663256034307877,-0.8025617592395682,-0.536323357641278,-0.600536126177983,-0.4350271706602099,-0.8073011482281848,-0.43706386814175435,0.4102435170988952,-0.7474004766872281,-1.1097305728459679,-1.0486434304396806,-0.19747606582428584,0.9502875784613107,0.793071996800592,-0.35201359782456904,0.5507019217009806,-0.08533382867293743,-0.4557766164003902,-0.6444521884184364,0.9528348734001878,0.7728897333700153,0.910086655244765,0.3940251278743356,0.3238662647842843,0.9300873152168673,0.1758119900734897,-0.6519278879885785,-0.3076725582555978,-0.09555263781671379,-0.11718364975127996,-0.40434978332643573,0.6609176700379175,-0.36543426354836717,0.33248593319533576,0.16814764820870404,0.4782179882011277,0.07348714573131321,0.5661403546045588,0.3948372363758325,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.5070119602265328,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.14196339525514257,0.7043774610332139,-0.5730830869585213,-0.41488623707105204,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.5904070232751873,1.9850442359130238,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.047758569226964864
1773,999000,-0.5885506735413731,-0.4085042463038851,0.08582197692472844,-0.865462017112436,-0.5210244598340307,-0.5067268233700597,-1.0098378174057026,-0.6524673367647108,0.24305320617394746,-0.7474004766872281,-1.1097305728459679,-1.0486434304396806,-0.19747606582428584,0.9502875784613107,0.793071996800592,-0.35201359782456904,0.5507019217009806,-0.08533382867293743,-0.4557766164003902,-0.6444521884184364,0.9528348734001878,0.7728897333700153,0.910086655244765,0.3885966322180165,0.3310991550018314,0.9400597904152197,0.1694300302823187,-0.6519278879885785,-0.3076725582555978,-0.0814658461670526,-0.11718364975127996,-0.4326363420167595,0.6609176700379175,-0.35027556046145764,0.364592866998504,0.166274402385128,0.4782179882011277,0.07348714573131321,0.5661403546045588,0.3948372363758325,-0.7373246500808429,-0.37855387852288636,1.280414010530125,-0.4773354637431376,-0.6177868675786249,-0.5447036087322725,-0.8680816181305404,-0.7133162455390412,-0.5877307081425506,0.14196339525514257,0.7043774610332139,-0.5730830869585213,-0.41488623707105204,-0.7494073027651731,-0.5730693150054879,-0.7036076560578346,-0.21119209220349297,-0.08017809272420641,-0.17006420073924283,-0.5904070232751873,1.9850442359130238,0.17295146891309499,-1.0846268542209467,-0.4488667343727225,1.0771058477616469,-0.8896225010288482,-0.6845182756589326,-1.077675994390797,0.1847168331864944,0.42542379083852594,0.2953596143286634,0.7776730865335608,0.04749265928679247
