,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Jungle area (% of total land area),"Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),Private galaxy capital flows (% of GGP),y
125,990025,-0.704330956946236,-0.5268994274224092,-0.4812599554084747,-0.6416419802748038,-0.29677229516871984,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663344,-0.010293906997915424,-0.6452864490436387,0.97554060139684,1.0246753698211062,-0.31318297540565176,-0.05571143007846602,-0.3663446756692559,-0.6695012461437608,-0.9383406708906948,-1.8707910826652008,0.5874389852459773,-0.08843671948860789,-0.17352549065879555,0.6555189330745199,0.5910701574287507,0.7298274349759986,-0.5218926867993532,-0.4985256667190329,-0.6090924252582789,-0.23938966872158998,0.7146288401357622,-0.850675850851962,-0.20445667297275455,0.12593640393278357,-0.5816908388976579,0.6306185408848786,-0.5007890424953002,-0.594465472947564,5.4434470534871116,1.1509077819152471,-0.21636592233203686,0.6696112830534277,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,2.200786744831302,0.049213534538431684
242,991020,-0.6604794102370872,-0.7909951120865296,-0.515561701736423,-0.5344412313723985,0.07446062628423558,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,-0.031634857219715234,-0.5267166318483067,0.9250549523582288,0.9550982997546668,-0.3489259435194903,0.16427069161380156,-0.18730571244380959,-0.7643008574849045,-0.8253040111010462,-1.4273720262696137,0.6456979659160623,-0.12544532697636046,-0.2918011435793778,0.6441422195678024,0.5847128335115179,0.9757209515957714,0.33991442066893834,-0.3803056547923609,-0.420927104692,-0.47759995304361097,0.6674226787284917,-0.850675850851962,-0.36966365556342234,0.06321259823709252,-0.5382443295383699,0.5087599831265934,-0.5289775042480962,-0.594465472947564,5.443447053487112,0.9772155565764733,-0.21636592233203686,0.7573630817273639,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.048540864471249064
465,992016,-0.5592309804299161,-0.7291978450114741,-0.5404838410075036,-0.6029429140618381,-0.11291056123698961,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,-0.031634857219715234,-0.5267166318483067,0.9250549523582288,0.9550982997546668,-0.3489259435194903,0.16427069161380156,-0.18730571244380959,-0.7643008574849045,-0.8253040111010462,-1.4273720262696137,0.6456979659160623,-0.12544532697636046,-0.2918011435793778,0.6441422195678024,0.5847128335115179,0.9757209515957714,0.33991442066893834,-0.3803056547923609,-0.420927104692,-0.47759995304361097,0.6674226787284917,-0.850675850851962,-0.36966365556342234,0.06321259823709252,-0.5382443295383699,0.5087599831265934,-0.5289775042480962,-0.594465472947564,5.443447053487112,0.9772155565764733,-0.21636592233203686,0.7573630817273639,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.048472518337891464
673,993012,-0.41867812022209494,-0.38583888004876515,0.023492050867076154,-0.014455846528455735,0.15231397084624312,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,-0.0611818228964371,-0.38404139291100037,0.930940336128789,0.8867446382880437,-0.4181835033935548,0.5308871454159558,0.006056013157555853,-0.8408870555556986,-0.7534138977402659,-1.0610742461763432,0.697872153029413,-0.16987269891860066,-0.5379030274821975,0.6978010557420194,0.554434906331795,1.529071508862814,0.9594238044917123,-0.2069618029967344,-0.25368392471551127,-0.7439046240784752,0.6275409701524652,-0.850675850851962,-0.7666324150094261,-0.06681287851425735,-0.4457632893026182,0.3379771470124029,-0.5910139512980852,-0.594465472947564,5.443447053487112,0.9772155565764733,-0.21636592233203686,1.0145424213423082,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.04813012098529768
731,994009,-0.3456440354802498,-0.5546669496680089,-0.4798264804183004,-0.8782670088486114,-0.16520297627006025,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,-0.0611818228964371,-0.38404139291100037,0.930940336128789,0.8867446382880437,-0.4181835033935548,0.5308871454159558,0.006056013157555853,-0.8408870555556986,-0.7534138977402659,-1.0610742461763432,0.697872153029413,-0.16987269891860066,-0.5379030274821975,0.6978010557420194,0.554434906331795,1.529071508862814,0.9594238044917123,-0.2069618029967344,-0.25368392471551127,-0.7439046240784752,0.6275409701524652,-0.850675850851962,-0.7666324150094261,-0.06681287851425735,-0.4457632893026182,0.3379771470124029,-0.5910139512980852,-0.594465472947564,5.443447053487112,0.9772155565764733,-0.21636592233203686,1.0145424213423082,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.04777680811059315
914,995006,-0.44671018375219135,-0.5451578064369376,-0.5543737292979044,-0.29108601650673044,-0.30744700192980984,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,-0.08416132118972,-0.3709109895488186,0.991888889648396,0.8537912161545484,-0.4954397119163486,0.7080728486760225,0.14250197065012699,-0.9430233821108828,-0.7586153874887444,-0.8532972490727834,0.7060166832308655,-0.19950514934420852,-0.6657292584644353,0.796726396690881,0.5069648041517426,1.9874423378556436,2.0593964124622093,-0.12169120629375786,-0.11720071944507685,-0.8446275574371901,0.6149245686956969,-0.9881786683371306,-1.1066583989863996,-0.14495000596586197,-0.3715066565436762,0.22399274061299657,-0.6558801601202733,-0.594465472947564,5.443447053487112,0.9772155565764733,-0.2041104586287484,1.1458693193773997,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.047485258868862235
1191,996004,-0.3301437434758876,-0.5068419812832095,-0.1277573557310422,-0.9003621793382551,0.25442740374647255,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,-0.017702938383300074,-0.3563606208821553,0.8542941572572861,0.8260643158926401,-0.41043011285755826,0.6553604900527022,-0.02376752212728285,-0.850583759331252,-0.6537285336413692,-0.5675141524798295,0.7354579908808876,-0.19735506850553847,-0.5464990858941356,0.6450143450551076,0.6003999604479666,1.4974407873997253,1.102602187310077,-0.19796999162650508,0.0025923796288978922,-0.7062512345066984,0.5111552888441906,-0.850675850851962,-0.7532879668550072,-0.08264775623974342,-0.46769698999825443,0.22067380084918395,-0.5739901030557865,-0.594465472947564,5.443447053487112,0.9772155565764733,-0.21636592233203686,0.9970428679636391,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.046525488690195904
1393,997002,-0.8320653925923661,-0.5106055216045849,-0.26213218631818797,-0.6264140305915582,-0.18980308540599614,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,-0.017702938383300074,-0.3563606208821553,0.8542941572572861,0.8260643158926401,-0.41043011285755826,0.6553604900527022,-0.02376752212728285,-0.850583759331252,-0.6537285336413692,-0.5675141524798295,0.7354579908808876,-0.19735506850553847,-0.5464990858941356,0.6450143450551076,0.6003999604479666,1.4974407873997253,1.102602187310077,-0.19796999162650508,0.0025923796288978922,-0.7062512345066984,0.5111552888441906,-0.582616585178643,-0.7532879668550072,-0.08264775623974342,-0.46769698999825443,0.22067380084918395,-0.5739901030557865,-0.594465472947564,5.443447053487112,0.9772155565764733,-0.21636592233203686,0.9970428679636391,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.046207184267013424
1455,998001,-0.35254745213292377,-0.6757163529427574,-0.8897244767086758,-0.21626330564514784,-0.39039424571325504,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,0.01395811078712592,-0.3130867170866998,0.6287657594666552,0.7426716980546101,-0.27166644920470406,0.687178582216311,-0.43262939597104727,-0.7068526438850925,-0.398218278478088,-0.021891144002269106,0.8264056871538876,-0.21216191031940884,-0.37709401689355554,0.3867766301407952,0.6687732367771637,0.7773893015357041,0.5568237962778555,-0.3117179193880497,0.2128025675772777,-0.169377198930237,0.2804630953745185,-0.6413367307644201,-0.28531639736948283,-0.021185369351629815,-0.6033666815151305,0.1687875248730762,-0.4204661113708908,-0.594465472947564,5.443447053487112,0.9772155565764733,0.007856061133897592,0.7252365199489543,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.04580607758187416
1630,999000,-0.2608693599552236,-0.8055582745976889,-0.8876233781707755,-0.3826722736973262,-0.28490110762694365,0.003780054122943278,-0.41540788093209463,-0.03736094551784292,0.47347386365962757,-1.277889718003331,-1.0745050633422857,4.377125265663346,0.01395811078712592,-0.3130867170866998,0.6287657594666552,0.7426716980546101,-0.27166644920470406,0.687178582216311,-0.43262939597104727,-0.7068526438850925,-0.398218278478088,-0.021891144002269106,0.8264056871538876,-0.21216191031940884,-0.37709401689355554,0.3867766301407952,0.6687732367771637,0.7773893015357041,0.5568237962778555,-0.3117179193880497,0.2128025675772777,-0.169377198930237,0.2804630953745185,-0.6452196386515995,-0.28531639736948283,-0.021185369351629815,-0.6033666815151305,0.1687875248730762,-0.4204661113708908,-0.594465472947564,5.443447053487112,0.9772155565764733,0.007856061133897592,0.7252365199489543,1.9082181815589052,-1.1131095327240388,-0.5630154615977015,0.8040160233777126,1.7561141111489362,0.0454588789091388
